RÚgIE_ENTR;PROJET_O_N;DOM_PUBLIC;DOSSIER;O_N;NOM;CANTON;SS_QUARTIE;QUARTIER;QUARTIER0;SECTEUR;LIBSECTEUR;CAT?GORIE;LIBCATÚgOR;DATE_CR?AT;ADRESSE;PELOUSES;FLEURS;ARBUSTES;JEUX;ALL?ES;FRICHE;JARDINIERE;HAIES_LONG;WC_O_N;D?POT_JARD;ECLAIRAGE_;V?G?TAUX;BORNE_FONT;BASSINS_FO;DATE_MODIF;COORDONN?E;N_GEST;_LIBGESTI;N_MOEUVRE;_1_LIBGES;DATE_FICHE;GROUPE_ENT;LIBGROUPE;EAU_SURFAC;ROSIERS_SU;FEUILLUS_U;CONIFERE_U;PRAIRIE;PALMIERS_Q;BOISEMENT;XCOORD;YCOORD;ALLÚeS_NON;VIVACES;PROPRIÚt?;LIBPROPRI;UNIFIÚe;LIBTYPOLOG;SEV;NON_SEV;TOTALE;ARBRES;HORTICOLE;HISTORIQUE;ECOLOGIE;ACTIVIT?;COMPOSITIO;ZONE;CL¶tURÚ_O_;FERMETURE;LIBFERMETU;HANDICAPÚs;HANDICAP0;LIBEVOLUTI;ACCESSIBIL;MODIFICATI;TRAML1;BUS;MSEC;BALAYAGESE;NOMCOURT;LONGITUDE;LATITUDE
Non;Non;19880101;106;Non;Moulin de l'EvÛque;3;25;Antigone;Centre;C;Antigone;Ab.bat;Abords de bÔtiment;19880101;Carrefour de l'aÚroport;3550;0;100;0;0;0;15;85;Non;Non;Oui;Platane, 100 l. roses, 2 jubea chilensis, 1 olivier, 1 platane, 3 cyprÞs, 3 washingtonia, 2 phoenix canariensis, 4 chamaerops humilis, 1 brahea armata;0;1;34445;N9;1;SEV;1;SEV;33633;1;Prestige;0;0;2;3;0;8;0;725845,959;146662,184;0;0;1;Ville de Montpellier;Accompagnement de bÔtiments publics;Accompagnement de bÔtiments publics;3665;0;3665;13;0;0;0;0;0;Centre;Non;0;Pas de fermeture;Non;0;Pas d'Úvolution possible;Non;;1 et 2 - Place de l'Europe (198 m);9 - Place de l'Europe (200 m);0;Non;Moulin de l'EvÛque;3,895622;43,609177
Non;Non;19720101;116;Non;Parking des Elus;3;30;ComÚdie;Centre;C;Antigone;Ab.bat;Abords de bÔtiment;19720101;Ave Henri II de Montmorenþy;140;0;95;0;0;0;1;0;Non;Oui;Oui;;0;0;34445;L10;1;SEV;1;SEV;33675;1;Prestige;0;0;0;1;0;0;0;724878,2681;146686,7782;0;0;1;Ville de Montpellier;Accompagnement de bÔtiments publics;Accompagnement de bÔtiments publics;236;0;236;1;0;0;0;0;0;Centre;Non;0;Pas de fermeture;Non;0;Pas d'Úvolution possible;Non;;1 - H¶tel de Ville (207 m);8 - H¶tel de Ville (312 m);0;Non;Parking des Elus;3,883643;43,609563
Non;Non;19850101;136;Non;Tour de la Babotte;1;30;ComÚdie;Centre;A;Ecusson;Ab.bat;Abords de bÔtiment;19850101;Bd Victor Hugo;220;72;0;0;0;0;0;0;Non;Non;Oui;olivier;0;2;35117;K9;1;SEV;1;SEV;33675;1;Prestige;0;0;0;0;0;0;0;724368,7248;146327,6385;0;0;1;Ville de Montpellier;Accompagnement de bÔtiments publics;Accompagnement de bÔtiments publics;292;0;292;0;0;0;0;0;0;Centre;Non;0;Pas de fermeture;Non;0;Pas d'Úvolution possible;Non;;1 et 2 - Gares (275 m);6 - Observatoire (33 m);0;Non;Tour de la Babotte;3,877248;43,606416
Non;Non;19860101;191;Non;Antigone le CÚsar;3;25;Antigone;Centre;C;Antigone;Ab.bat;Abords de bÔtiment;19860101;Bd d'Antigone;2144;0;0;0;0;0;48;0;Non;Non;Oui;16 platanes;0;0;34879;M9;1;SEV;1;SEV;33675;1;Prestige;0;0;16;0;0;0;0;725173,2946;146620,2475;0;0;1;Ville de Montpellier;Accompagnement d'habitations;Accompagnement d'habitations;2192;0;2192;16;0;0;0;0;0;Centre;Non;0;Pas de fermeture;Non;0;Pas d'Úvolution possible;Non;;1 - Antigone (44 m);8 - H¶tel de Ville (143 m);0;Non;Antigone le CÚsar;3,88728;43,608913
Non;Non;19920423;238;Non;Eglise St-Paul;9;1;Les Hauts de Massane;La Mosson;F;Hauts de Massane;Ab.bat;Abords de bÔtiment;;Avenue de bologne;0;0;1370;0;0;0;0;270;Non;Non;Oui;judÚe;0;0;34445;C14;15;Autres;1;SEV;33717;2;Normal;0;0;3;0;0;0;0;719677,5207;148956,0749;500;0;4;PrivÚ ouvert au public;EV Útablissements sociaux ou Úducatifs;EV Útablissements sociaux ou Úducatifs;1370;0;1870;3;0;0;0;0;0;Nord-Ouest;Non;0;Pas de fermeture;Non;0;Pas d'Úvolution possible;Non;39134;1 - Saint-Paul (77 m);15 - Lausanne (305 m);0;Non;Eglise St-Paul;3,819732;43,630846
Non;Non;19991014;249;Non;Villas bio-climatiques;9;1;Les Hauts de Massane;La Mosson;F;Hauts de Massane;Ab.bat;Abords de bÔtiment;19860101;Rue de Corse;0;0;1300;0;200;0;0;0;Non;Non;Oui;murier platane;0;0;34451;A15;1;SEV;1;SEV;33633;3;Rustique;0;0;0;0;550;0;300;719091,8822;149416,1144;0;0;1;Ville de Montpellier;Accompagnement d'habitations;Accompagnement d'habitations;2350;0;2350;0;0;0;0;0;0;Nord-Ouest;Non;0;Pas de fermeture;Non;0;Pas d'Úvolution possible;Non;;;15 - Mas de Bellevue (304 m);0;Non;Villas bio-climatiqu;3,812578;43,635082
Oui;Non;19850101;266;Non;Cuisine Centrale;8;7;La Chamberte;Les CÚvennes;H;CÚvennes;Ab.bat;Abords de bÔtiment;19850101;Route de Laverune;0;0;100;0;0;0;0;0;Non;Non;Oui;9 pins pignon;0;0;34445;F7;1;SEV;47;UPEE7;33717;3;Rustique;0;0;0;9;900;0;0;721536,2818;145477,8741;0;0;1;Ville de Montpellier;Accompagnement de bÔtiments publics;Accompagnement de bÔtiments publics;1000;0;1000;9;0;0;0;0;0;Nord-Ouest;Non;0;Pas de fermeture;Non;0;Pas d'Úvolution possible;Non;39847;;11 - CollÞge M. Pagnol (226 m);0;Non;Cuisine Centrale;3,841975;43,59924
Non;Non;19500101;274;Non;Jardin de la Monnaie;1;30;ComÚdie;Centre;A;Ecusson;Ab.bat;Abords de bÔtiment;19500101;rue de la Monnaie;0;7;90;0;600;0;0;28;Non;Non;Oui;;0;0;34451;K10;4;DEES;1;SEV;33675;2;Normal;0;0;0;0;0;0;0;724504,624;146770,7562;0;0;1;Ville de Montpellier;EV Útablissements sociaux ou Úducatifs;EV Útablissements sociaux ou Úducatifs;697;0;697;0;0;0;0;0;0;Centre;Non;0;Pas de fermeture;Non;0;Pas d'Úvolution possible;Non;;1 - ComÚdie (226 m);5 - Observatoire (410 m);0;Non;Jardin de la Monnaie;3,879034;43,610381
Non;Non;19920203;279;Non;Club du 3Þme age Chamberte;8;7;La Chamberte;Les CÚvennes;H;CÚvennes;Ab.bat;Abords de bÔtiment;;Rue PÞre Rome;0;0;0;0;450;0;0;40;Non;Non;Non;sophora, troene;0;0;34445;G8;21;CCAS;1;SEV;33637;2;Normal;0;0;0;0;0;0;0;722096,8005;145804,5367;0;0;1;Ville de Montpellier;EV Útablissements sociaux ou Úducatifs;EV Útablissements sociaux ou Úducatifs;450;0;450;0;0;0;0;0;0;Nord-Ouest;Non;0;Pas de fermeture;Non;0;Pas d'Úvolution possible;Non;;;11 - CitÚ Valette (52 m);0;Non;Club du 3Þme age Cha;3,848991;43,602088
Non;Non;19860101;313;Non;SLEG-CFPJ;4;29;Grammont;Port Marianne;J;Grammont Entretien;Ab.bat;Abords de bÔtiment;19860101;Avenue Albert Einstein;2967;20;20;0;300;0;0;200;Non;Non;Non;4 c humilis, 2 p canariensis;0;0;34862;S11;15;Autres;1;SEV;33878;2;Normal;0;0;0;0;0;6;0;728585,3851;147548,5245;970;0;1;Ville de Montpellier;Accompagnement de bÔtiments publics;Accompagnement de bÔtiments publics;3307;0;4277;6;0;0;0;0;0;Est;Non;0;Pas de fermeture;Non;0;Pas d'Úvolution possible;Non;;;12 - Grammont (Terminus) (326 m);0;Non;SLEG-CFPJ;3,929763;43,616682
